Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
01/01/2015,189.9998016,190.8771553,189.0903507,189.6574309,2963643
02/01/2015,189.496933,191.7438127,189.2294558,190.0426007,7331366
05/01/2015,187.4212799,190.6418056,187.0467975,189.3792703,10103941
06/01/2015,178.9152222,186.8113765,178.0378685,186.169417,18627980
07/01/2015,182.8097992,183.7727455,179.1078154,179.1292136,20720312
08/01/2015,180.1884918,184.6501403,179.7819122,184.0509628,19872227
09/01/2015,184.0937195,184.4575027,180.8197134,181.5472655,13392787
12/01/2015,181.9538574,184.2435334,180.0921734,184.1365426,10100113
13/01/2015,180.4238586,182.9489148,179.8567927,182.5316361,9948711
14/01/2015,178.6691589,181.2477104,177.8666988,180.3917548,11380041
15/01/2015,184.9389954,186.4048132,179.7497952,179.7497952,16927085
16/01/2015,186.1052551,187.2393871,182.3283627,184.0295606,19136963
19/01/2015,188.234436,189.5932489,183.7620885,186.2122512,13339962
20/01/2015,193.241745,193.7767137,188.0632292,188.6303094,13361320
21/01/2015,194.033493,195.0285368,190.8878754,193.659025,17084297
22/01/2015,189.1117706,194.1297855,188.2023196,193.6911086,23721627
23/01/2015,189.7858429,192.1183013,187.6673663,190.4492007,18080494
27/01/2015,190.2459106,191.882914,188.4163095,191.0697547,17939876
28/01/2015,194.0548859,194.6861606,189.6146358,189.6146358,19298126
29/01/2015,198.8802948,199.9716302,194.0655629,194.1083593,36117653
30/01/2015,195.8524017,199.2762101,194.5149728,199.0087186,21746801
02/02/2015,194.3116455,196.8474003,193.8087742,196.0235421,19302710
03/02/2015,200.635025,201.33048,195.413713,195.413713,17092333
04/02/2015,198.7519073,201.9617191,198.131346,200.9559764,14072894
05/02/2015,197.6605682,201.127158,196.3552368,200.292615,12365643
06/02/2015,194.70755,199.0086975,193.2310331,197.7461766,9045844
09/02/2015,191.8828888,196.4408282,190.8771461,192.8458352,8839692
10/02/2015,188.7373199,193.5520387,184.3077684,192.1611285,13651008
11/02/2015,192.7388611,193.6055157,188.9512698,189.5932294,9781008
12/02/2015,194.5470428,195.5741838,189.8607141,194.3009638,8709626
13/02/2015,196.3338623,197.0400164,194.5256593,195.5848976,7393680
16/02/2015,193.1882629,197.7676015,192.5890854,196.5906589,12266698
18/02/2015,192.9421539,194.300981,191.3907433,192.5890697,9835036
19/02/2015,193.0277405,194.2153821,189.9249193,194.0762796,9550637
20/02/2015,186.8327942,191.7331191,186.4476128,191.5726185,18717199
23/02/2015,182.1999664,187.613862,181.2691172,186.1587432,14104463
24/02/2015,180.0600891,183.3448093,179.1078559,182.7991415,19946218
25/02/2015,180.4238586,183.2806008,179.9744827,181.6328984,15274116
26/02/2015,180.1777802,181.889677,179.0222358,181.0551196,21459750
27/02/2015,183.077301,184.2435444,180.7341437,181.3654042,18659378
02/03/2015,184.9389954,187.3463614,183.077297,185.9554372,14579511
03/03/2015,192.7602692,193.9692947,185.6130784,185.9554492,20636925
04/03/2015,189.9891205,194.6540657,188.3200199,193.8730037,14476047
05/03/2015,189.3685455,192.3215793,187.9134268,190.9841506,10716702
09/03/2015,186.0945282,190.8236677,184.9176,189.4006462,14065391
10/03/2015,183.8476868,187.4105834,183.0452265,185.9447653,15234060
11/03/2015,183.1629028,186.0838251,182.4032391,184.2328401,11635873
12/03/2015,184.8427277,185.6130906,183.08802,183.6016048,11782380
13/03/2015,181.911087,186.0838458,181.2477293,185.9554567,12936157
16/03/2015,180.1991577,182.7349126,179.8139763,182.2106431,13839990
17/03/2015,183.3554688,184.0081273,179.9637584,182.007341,19070082
18/03/2015,185.8805695,186.6509324,182.895438,183.3876103,9269885
19/03/2015,183.2057037,187.603143,182.7670269,187.357064,13934612
20/03/2015,182.7670441,184.2756584,181.5901015,183.5801891,10405717
23/03/2015,180.167099,184.8855257,179.3432406,183.2806196,13251683
24/03/2015,181.451004,182.8098311,180.1991822,180.1991822,9238431
25/03/2015,180.7983856,181.7827305,179.963828,181.6757396,10264941
26/03/2015,177.4600983,181.7291622,176.3473647,179.985154,20621346
27/03/2015,173.6939392,178.6798567,171.5005549,178.4444625,23326922
30/03/2015,173.4906464,174.9778624,170.4306216,174.7424825,17330588
31/03/2015,176.7539673,178.2304842,175.0420562,175.0420562,20235395
01/04/2015,178.9045563,179.5358168,173.9935319,176.5185881,14588531
06/04/2015,176.4650421,179.3217836,175.7695873,178.8938059,12334096
07/04/2015,178.2197876,178.9152426,176.7646688,176.7646688,21275454
08/04/2015,185.292099,186.0624477,178.2305006,178.3588897,24821205
09/04/2015,191.5404968,192.3750541,183.772746,185.2064664,27276420
10/04/2015,193.519928,194.4721754,190.2566203,191.5084422,25323219
13/04/2015,197.4038086,197.8852819,192.3215988,194.0441949,20177342
15/04/2015,197.6498718,201.0629662,194.1297723,197.0827917,22231264
16/04/2015,198.6556244,200.7206054,196.6548379,197.8317661,20177302
17/04/2015,198.3346252,202.0687065,197.4251743,200.0893183,23958678
20/04/2015,189.5183411,200.6029102,187.9883287,200.570813,37628162
21/04/2015,187.5496368,191.6261175,186.6936956,190.4812724,17707007
22/04/2015,188.2557983,189.7537133,185.5274456,188.7158733,14761313
23/04/2015,187.6780548,190.3208009,185.9661436,189.1331736,13337818
24/04/2015,188.0739288,189.2615705,185.8805586,187.6673635,12709854
27/04/2015,187.3035736,189.9142225,186.4797153,188.3200155,11042925
28/04/2015,185.1422577,188.7372504,183.7192365,187.175141,14687371
29/04/2015,181.8896637,186.287117,181.3332969,184.457516,16387960
30/04/2015,184.5324097,185.2920734,181.4509869,181.8896638,34802149
04/05/2015,190.6524811,191.2837415,184.1365511,185.3562757,15078502
05/05/2015,190.9092712,192.9742524,189.400657,191.2409573,17846755
06/05/2015,188.362793,191.8935916,186.5973865,190.449172,22438208
07/05/2015,186.3299255,187.9776279,184.0295503,187.2393766,16735535
08/05/2015,192.7837067,193.6612806,186.5865489,188.7317167,17104443
11/05/2015,194.13797,194.8963566,191.4185774,193.46624,14214007
12/05/2015,188.2333069,193.9104224,187.4640865,193.9104224,16650201
13/05/2015,191.7869415,192.5561765,185.7414588,189.2409057,16701434
14/05/2015,190.2918091,192.0252888,188.5800116,191.9819388,12329713
15/05/2015,189.3708954,192.1877926,188.5366717,191.0935412,8331715
18/05/2015,193.1845703,193.7154453,188.9917399,189.5767843,9847540
19/05/2015,194.0513153,196.0448086,192.1119914,193.119572,14513036
20/05/2015,196.9331665,197.3990381,194.5171375,195.1021963,8708891
21/05/2015,194.3113098,198.3524655,193.7370993,197.4532239,10759523
22/05/2015,195.8497467,196.2289472,194.3654609,194.3654609,8349048
25/05/2015,193.8237762,196.7490127,193.3579046,195.0155328,6617337
26/05/2015,191.6785889,194.1487873,191.2668867,193.9320951,9510249
27/05/2015,191.8302765,193.0437153,190.7251911,191.9819509,8078236
28/05/2015,189.771759,193.7695787,188.9483548,191.949428,26538868
29/05/2015,190.0317993,192.0794618,189.1867272,190.6601792,29277517
01/06/2015,195.5030518,196.0772767,190.2484721,190.6818421,19594976
02/06/2015,194.7230225,199.089195,193.1628992,196.2614779,20178960
03/06/2015,194.2246552,197.2798984,192.5236913,194.7988657,15546279
04/06/2015,197.7674255,198.5258121,193.4012387,195.9256068,15931395
05/06/2015,196.6948242,198.6883172,195.9797588,197.1606958,13066337
08/06/2015,191.8627625,197.1823598,191.3535553,196.4889621,10846953
09/06/2015,191.4835815,192.9895207,190.1076345,191.4510654,9153355
10/06/2015,196.2723083,197.1607161,191.7652809,191.9819586,13509379
11/06/2015,190.06427,197.0739962,189.3058691,196.3155953,14676438
12/06/2015,192.8161926,193.4337387,190.3026584,190.4651812,21543824
15/06/2015,195.3947449,196.0989765,192.8487088,193.9104588,12858570
16/06/2015,195.8714294,196.0989555,193.5420858,194.7988457,13929305
17/06/2015,201.7760773,204.1921065,193.7154336,196.109795,26232634
18/06/2015,212.1227417,212.7836233,202.0577703,202.0686042,49366799
19/06/2015,215.9580231,218.0706888,212.8919464,212.8919464,45710935
22/06/2015,214.885437,218.5690597,213.7586694,216.023024,19394187
23/06/2015,215.6004944,217.2689563,214.7337545,215.0912872,16007498
24/06/2015,214.7120819,218.0815219,213.7911726,215.6004895,18603004
25/06/2015,217.6698151,218.6340599,213.4336498,213.8670197,27175118
26/06/2015,216.8356171,219.7391713,215.6871816,216.6622604,20966796
29/06/2015,214.7012482,215.3513103,210.6167572,214.0620344,20168946
30/06/2015,216.7055817,217.3014599,214.0837087,214.4954109,23184864
01/07/2015,217.9081879,218.9482699,216.9006075,216.9006075,14824266
02/07/2015,219.0349731,220.9634632,218.2224026,218.6341048,15931202
03/07/2015,218.2440643,219.674181,217.3448227,218.7966071,13831096
06/07/2015,220.05336,220.7792449,215.6438377,215.8388622,12237733
07/07/2015,217.3881531,220.2808733,216.6839215,219.067449,11294999
08/07/2015,215.9472046,218.5690777,214.8746208,215.7846818,15190654
09/07/2015,213.9537048,216.9006089,213.0327955,215.8171768,16245867
10/07/2015,217.0739594,217.5506649,214.571259,214.7554351,16110573
13/07/2015,218.2007294,219.3925005,215.6330255,217.0739761,9860248
14/07/2015,216.2072144,219.1757862,215.6438378,218.6124096,9942927
15/07/2015,219.0999451,219.8041622,216.586411,216.6297465,13532911
16/07/2015,221.8193512,222.707759,219.0999729,219.284149,14854295
17/07/2015,221.3859711,223.4336337,220.5842489,222.155206,10195142
20/07/2015,222.046814,223.173567,220.5625283,222.7076954,6348354
21/07/2015,218.374054,222.8485796,217.2798024,222.7510746,7923338
22/07/2015,227.6047974,228.3740178,217.6806674,217.7673385,17309440
23/07/2015,226.4997101,231.3859234,225.6113024,228.276511,18642915
24/07/2015,222.1118774,227.4422951,221.2559713,227.0847768,13099664
27/07/2015,217.8431702,223.1627678,217.0631158,222.0793501,20118553
28/07/2015,218.9049225,220.3025228,216.7055712,218.4823865,13382878
29/07/2015,215.8171844,219.4358186,214.9721268,218.7424208,14790821
